metric,difference_pp,ci_low,ci_high,prob_positive,prob_favorable
검색 0건률,-6.33933930518395,-7.640139369357336,-5.133890270040945,0.0,1.0
0건 후속검색률,0.5680405032542857,0.13307958435082423,1.0086104994463698,0.994,0.994
즉시 회복률(NSM 후보),5.1243978534484755,4.266231184114422,5.9890411417577285,1.0,1.0
첫 Z 즉시 회복률,4.456645705504712,2.721262908127781,6.106785944870246,1.0,1.0
최종 회복률,6.706617466485465,4.6510178481952495,8.773041066333196,1.0,1.0
Card H-SEARCH,-0.26579282421480277,-1.0606370196998438,0.5707804951348795,0.2765,0.2765
