metric,group,analysis_unit,numerator,denominator,rate,n,test,statistic,odds_ratio,ci_95_low,ci_95_high,p_value,interpretation,limitation,percentage_point_difference
amenity_count>=3 vs <3,amenity_count>=3,search,120,136,0.8823529411764706,136,Fisher exact (two-sided),36.94444444444444,36.94444444444444,18.98450754461047,71.89504242347977,2.171695106289112e-37,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,71.36029411764706
amenity_count>=3 vs <3,amenity_count<3,search,27,160,0.16875,160,Fisher exact (two-sided),36.94444444444444,36.94444444444444,18.98450754461047,71.89504242347977,2.171695106289112e-37,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,-71.36029411764706
user_rating_min set vs unset,set,search,115,152,0.756578947368421,152,Fisher exact (two-sided),10.878378378378379,10.878378378378379,6.33946021235907,18.667065046399802,7.158812974882728e-21,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,53.43567251461988
user_rating_min set vs unset,unset,search,32,144,0.2222222222222222,144,Fisher exact (two-sided),10.878378378378379,10.878378378378379,6.33946021235907,18.667065046399802,7.158812974882728e-21,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,-53.43567251461988
price set vs unset,set,search,106,146,0.726027397260274,146,Fisher exact (two-sided),7.045121951219512,7.045121951219512,4.225913946786055,11.745090868521611,5.7950432197553e-15,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,45.269406392694066
price set vs unset,unset,search,41,150,0.2733333333333333,150,Fisher exact (two-sided),7.045121951219512,7.045121951219512,4.225913946786055,11.745090868521611,5.7950432197553e-15,A1 부분 채택,입력 상태를 구분할 컬럼이 없어 조건 제한 효과와 입력 품질 효과를 분리하지 못했다.,-45.269406392694066
