metric,group,analysis_unit,numerator,denominator,rate,n,test,statistic,odds_ratio,ci_95_low,ci_95_high,p_value,interpretation,limitation,mean,median,q1,q3,iqr
session_search_count,experienced_zero,session,,,,28,Mann–Whitney U (two-sided),382.0,,,,1.1213980708390227e-05,B2 채택·주의: 세션 특성 간 연관만 보고,탐색지속성이 높은 사용자가 0건과 많은 검색을 모두 경험했을 교란 가능성; 인과 해석 금지,9.0,7.0,5.0,10.25,5.25
session_search_count,no_zero_experience,session,,,,15,Mann–Whitney U (two-sided),382.0,,,,1.1213980708390227e-05,B2 채택·주의: 세션 특성 간 연관만 보고,탐색지속성이 높은 사용자가 0건과 많은 검색을 모두 경험했을 교란 가능성; 인과 해석 금지,2.933333333333333,2.0,1.5,3.0,1.5
