metric,group,analysis_unit,numerator,denominator,rate,n,test,statistic,odds_ratio,ci_95_low,ci_95_high,p_value,interpretation,limitation
zero_result_rate_by_intent,LOCATION_ONLY,search,7,84,0.08333333333333333,84,,,,,,,기술통계,희소 의도 셀은 우열·인과 해석 금지; QUALITY_FILTER는 C3 사용자 세그먼트가 아님
zero_result_rate_by_intent,PRICE,search,1,9,0.1111111111111111,9,,,,,,,기술통계,희소 의도 셀은 우열·인과 해석 금지; QUALITY_FILTER는 C3 사용자 세그먼트가 아님
zero_result_rate_by_intent,QUALITY_FILTER,search,1,3,0.3333333333333333,3,,,,,,,기술통계,희소 의도 셀은 우열·인과 해석 금지; QUALITY_FILTER는 C3 사용자 세그먼트가 아님
zero_result_rate_by_intent,AMENITY,search,13,31,0.41935483870967744,31,,,,,,,기술통계,희소 의도 셀은 우열·인과 해석 금지; QUALITY_FILTER는 C3 사용자 세그먼트가 아님
zero_result_rate_by_intent,MIXED,search,125,169,0.7396449704142012,169,,,,,,,기술통계,희소 의도 셀은 우열·인과 해석 금지; QUALITY_FILTER는 C3 사용자 세그먼트가 아님
